target,variable_type,target_mode,equation,sympy_format,complexity,loss,score,holdout_r2,holdout_mae,baseline_holdout_mae,residual_tail_ratio,residual_p99,residual_median,selection_reason,pareto_csv
P4_HT_LD,sensor,sensors_delta_discrete_persistence,P4_HT_FD * -521.4701,P4_HT_FD*(-521.4701),3.0,2.2022781,0.2175449936425239,0.3975494428904788,0.6799562740634245,0.6671384395268534,34.46164030194521,5.983303438960015,0.17362213134765625,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P4_HT_LD_sensors_delta_discrete_persistence/pareto_front_scored.csv
P4_HT_PO,sensor,sensors_delta_discrete_persistence,(P3_LCV01D * 0.0045955735) - (P4_HT_PO - 1.1980637),P3_LCV01D*0.0045955735 - (P4_HT_PO - 1*1.1980637),7.0,0.39536145,0.4943989100635677,0.7982214358615562,0.3172709264620504,0.6598643563865254,20.40230692344905,2.997894772759338,0.14693900959375128,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P4_HT_PO_sensors_delta_discrete_persistence/pareto_front_scored.csv
P4_LD,sensor,sensors_delta_discrete_persistence,(P4_ST_PO - P4_ST_LD) * -0.13316496,(-P4_ST_LD + P4_ST_PO)*(-0.13316496),5.0,5.142895,0.1673312093770898,0.30965051758247264,1.6467403691879976,1.9942849702305263,5.935954377454735,7.469958865887984,1.2584259229248005,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P4_LD_sensors_delta_discrete_persistence/pareto_front_scored.csv
P4_ST_FD,sensor,sensors_delta_discrete_persistence,P4_ST_FD * -0.71236205,P4_ST_FD*(-0.71236205),3.0,2.8779605e-06,0.2224843302676742,0.34140944705046306,0.0012154905680152597,0.001511075629635725,4.199202350138313,0.0042268542230472685,0.0010065850298707432,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P4_ST_FD_sensors_delta_discrete_persistence/pareto_front_scored.csv
P4_ST_GOV,sensor,sensors_delta_discrete_persistence,(P4_ST_LD - P4_ST_PO) * 5.048839,(P4_ST_LD - P4_ST_PO)*5.048839,5.0,5974.3213,0.1533079519249114,0.43203516515656537,48.400360183117606,66.37565646701388,5.3542719979653715,203.26542580832492,37.963223737151566,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P4_ST_GOV_sensors_delta_discrete_persistence/pareto_front_scored.csv
P4_ST_LD,sensor,sensors_delta_discrete_persistence,((P4_ST_LD - P4_ST_PO) * 0.09527579) + (P4_HT_FD * 424.37802),P4_HT_FD*424.37802 + (P4_ST_LD - P4_ST_PO)*0.09527579,9.0,5.440693,0.06156326376022,0.23595688677774596,1.6404174347323215,1.9103526244560878,6.980938748763293,8.31650312078562,1.1913158702701594,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P4_ST_LD_sensors_delta_discrete_persistence/pareto_front_scored.csv
P4_ST_PO,sensor,sensors_delta_discrete_persistence,(P4_ST_PO - P4_ST_LD) * -0.09486873,(-P4_ST_LD + P4_ST_PO)*(-0.09486873),5.0,1.1497883,0.3369523367099597,0.6114557750009517,0.5741563915118177,1.0356863412592145,7.977418636773901,3.1162902938554846,0.39063893168275854,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P4_ST_PO_sensors_delta_discrete_persistence/pareto_front_scored.csv
P4_ST_PT01,sensor,sensors_delta_discrete_persistence,((P1_PIT01 * 58.784443) + 1992.2933) - (P4_ST_PT01 * 0.20628001),P1_PIT01*58.784443 - 0.20628001*P4_ST_PT01 + 1992.2933,9.0,11.047965,0.0925585150679295,0.18960249170177934,1.6010604372875497,1.1402398003472223,12.249911097695229,11.89930480007058,0.9713788700319128,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P4_ST_PT01_sensors_delta_discrete_persistence/pareto_front_scored.csv
P4_ST_TT01,sensor,sensors_delta_discrete_persistence,258.70453 - (P4_ST_TT01 * 0.009371351),258.70453 - 0.009371351*P4_ST_TT01,5.0,11.618394,0.0021485362068549,0.004861879279633996,2.052515734911633,1.9724663628472223,13.759975080949479,11.03847111000141,0.8022159229985846,highest_score_among_stable_candidates,artifacts/experiments/seed3/hai_safe_seed4/pareto_fronts/P4_ST_TT01_sensors_delta_discrete_persistence/pareto_front_scored.csv
P4_HT_PS,persistence,sensors_delta_discrete_persistence,P4_HT_PS,P4_HT_PS,1.0,0.001736111111111111,0.0,0.0,0.00021701388888888888,0.00021701388888888888,0.0,0.0,0.0,persistence_for_discrete_or_piecewise_constant_variable,
P4_ST_PS,persistence,sensors_delta_discrete_persistence,P4_ST_PS,P4_ST_PS,1.0,0.043402777777777776,0.0,0.0,0.0010850694444444445,0.0010850694444444445,0.0,0.0,0.0,persistence_for_discrete_or_piecewise_constant_variable,
