dataset,S,G,Prec,Rec,F1,eTaP,eTaR,eTaF1,FPA,Scen,num_monitored,num_sensors,num_actuators
BATADAL,0.6,6.0,22.148394241417495,88.98776418242491,35.46885391265795,8.876157521233948,94.86785137355047,16.23345774784259,1408.0,100.0,42,30,12
BATADAL,0.6,7.0,22.160970231532527,89.43270300333704,35.52021206096752,8.95842469527277,95.12353319173229,16.37473057091306,1397.0,100.0,42,30,12
BATADAL,0.6,8.0,22.164240593243616,89.76640711902112,35.55066079295155,8.811707585610948,95.34674747744657,16.132490780546046,1392.0,100.0,42,30,12
BATADAL,0.6,9.0,22.073304157549234,89.76640711902112,35.433589462129525,8.869511102278892,95.34674747744657,16.22931098932994,1383.0,100.0,42,30,12
BATADAL,0.6,10.0,22.0620239390642,90.21134593993327,35.4535519125683,8.605458983393929,95.68900938220848,15.790824926852498,1375.0,100.0,42,30,12
BATADAL,0.6,12.0,21.997300944669366,90.65628476084538,35.40399652476108,8.47614619920649,95.8973427155418,15.575600766517733,1360.0,100.0,42,30,12
BATADAL,0.6,15.0,21.906802356722014,90.98998887652948,35.31189294193827,8.417713233533473,96.06103319173226,15.479018613672771,1345.0,100.0,42,30,12
BATADAL,0.6,20.0,21.65302350145234,91.21245828698554,34.99786598378148,7.838682528365978,96.1800808107799,14.495944670485429,1319.0,100.0,42,30,12
BATADAL,0.6,25.0,21.44723092998955,91.32369299221357,34.736619420351175,8.037718225797946,96.23960462030371,14.836338390502165,1295.0,100.0,42,30,12
BATADAL,0.7,0.1,20.01897533206831,70.41156840934372,31.174587540014777,12.852584643118767,87.27718595993673,22.405672423044052,1503.0,100.0,42,30,12
BATADAL,0.7,0.5,20.445280652242083,72.52502780867631,31.898238747553815,12.616676738419086,88.28027778958631,22.078044524919658,1498.0,100.0,42,30,12
BATADAL,0.7,1.0,21.256931608133087,76.7519466073415,33.293124246079614,11.945431438377604,90.08678694658938,21.093837887832613,1488.0,100.0,42,30,12
BATADAL,0.7,1.5,21.84540177207455,79.53281423804228,34.27612655800576,11.494751237160013,91.22490497091562,20.416882765847838,1487.0,100.0,42,30,12
BATADAL,0.7,2.0,22.134387351778656,80.97886540600668,34.765998089780325,11.154695877393229,91.85556648265614,19.893569539282804,1487.0,100.0,42,30,12
BATADAL,0.7,2.16,22.272727272727273,81.75750834260289,35.00833531793284,10.906107919903137,92.18723614278328,19.504730501310515,1486.0,100.0,42,30,12
BATADAL,0.7,2.5,22.45698762450951,82.75862068965517,35.32763532763533,10.722119920562982,92.5602816003652,19.218035688279297,1484.0,100.0,42,30,12
BATADAL,0.7,3.0,22.69588712098469,84.09343715239154,35.74468085106383,10.214986994790149,93.03442106272655,18.408733165698685,1479.0,100.0,42,30,12
BATADAL,0.7,3.5,22.893006575014944,85.20578420467186,36.08951707891637,9.811201127051259,93.44387818361983,17.75789993231691,1477.0,100.0,42,30,12
BATADAL,0.7,4.0,23.012801428996728,85.98442714126807,36.308125880695165,9.565561211569657,93.70411927231838,17.359063850602887,1472.0,100.0,42,30,12
BATADAL,0.7,4.5,23.051754907792983,86.20689655172413,36.376437455996246,9.539851066272828,93.78122966192876,17.318033405791315,1471.0,100.0,42,30,12
BATADAL,0.7,5.0,23.117960877296976,86.76307007786428,36.508307980341684,9.402288978462197,94.05206299526209,17.095552935783388,1469.0,100.0,42,30,12
BATADAL,0.7,6.0,23.129051266941662,87.31924360400444,36.57116235732588,9.226123253655825,94.277982908682,16.80745475077703,1464.0,100.0,42,30,12
BATADAL,0.7,7.0,23.13782991202346,87.76418242491657,36.62102576003713,9.311147647710923,94.53366472686382,16.952544663974813,1453.0,100.0,42,30,12
BATADAL,0.7,8.0,23.137598597721297,88.09788654060067,36.64969921332716,9.199190367023245,94.7568790125781,16.7702871765704,1448.0,100.0,42,30,12
BATADAL,0.7,9.0,23.036649214659686,88.09788654060067,36.52294212589348,9.259120004417651,94.7568790125781,16.86981468837669,1439.0,100.0,42,30,12
BATADAL,0.7,10.0,23.041341428158425,88.65406006674083,36.57641119779716,8.922052227151521,95.14378377448284,16.31424568407668,1432.0,100.0,42,30,12
BATADAL,0.7,12.0,22.964449541284402,89.09899888765295,36.51698199224983,8.790316126154476,95.3521171078162,16.09670960525241,1417.0,100.0,42,30,12
BATADAL,0.7,15.0,22.840909090909093,89.43270300333704,36.38832315003395,8.74910070602649,95.51580758400667,16.02988835410133,1400.0,100.0,42,30,12
BATADAL,0.7,20.0,22.545454545454547,89.65517241379311,36.03039785426911,8.15198011544597,95.63485520305429,15.023358898387862,1376.0,100.0,42,30,12
BATADAL,0.7,25.0,22.317477876106196,89.76640711902112,35.74750830564784,8.358933706044851,95.6943790125781,15.374867926989264,1352.0,100.0,42,30,12
BATADAL,0.8,0.1,20.070648683365448,69.52169076751946,31.148766508846247,12.902807481689823,86.9304807401312,22.47040595895136,1513.0,100.0,42,30,12
BATADAL,0.8,0.5,20.535714285714285,71.63515016685206,31.920693928128873,12.668951676087906,87.93357256978078,22.147082092486762,1511.0,100.0,42,30,12
BATADAL,0.8,1.0,21.41509433962264,75.75083426028921,33.39053689629811,11.983512575068131,89.7018164206614,21.142535618458645,1507.0,100.0,42,30,12
BATADAL,0.8,1.5,21.98316183348924,78.42046718576195,34.33999025815879,11.574577436596236,90.78726902530094,20.5315615517271,1505.0,100.0,42,30,12
BATADAL,0.8,2.0,22.246354328265593,79.75528364849833,34.78893740902475,11.240548548176331,91.3822162513272,20.018681824053935,1504.0,100.0,42,30,12
BATADAL,0.8,2.16,22.387136672850957,80.53392658509455,35.03508347447375,11.040240824352331,91.7138859114543,19.70808218735589,1503.0,100.0,42,30,12
BATADAL,0.8,2.5,22.598522167487683,81.64627363737486,35.39908367494574,10.780166278328148,92.12492529000887,19.30170796933489,1501.0,100.0,42,30,12
BATADAL,0.8,3.0,22.85102477821964,83.09232480533927,35.84452975047985,10.233337728277077,92.65858856189404,18.431118249360868,1495.0,100.0,42,30,12
BATADAL,0.8,3.5,23.065204143814746,84.20467185761957,36.211432671609664,9.836170411174676,93.04098940573105,17.79145203168176,1494.0,100.0,42,30,12
BATADAL,0.8,4.0,23.186646433990894,84.98331479421579,36.43299952312828,9.603130749162462,93.30123049442959,17.413915302866616,1489.0,100.0,42,30,12
BATADAL,0.8,4.5,23.226197695573074,85.20578420467186,36.50226352156302,9.577387607146045,93.37834088403997,17.37291509399063,1488.0,100.0,42,30,12
BATADAL,0.8,5.0,23.253704263683098,85.53948832035594,36.566809320019026,9.51420979277933,93.57774564594476,17.27231383325635,1486.0,100.0,42,30,12
BATADAL,0.8,6.0,23.264201983769162,86.09566184649611,36.63038334122101,9.338333796710437,93.80366555936465,16.98570797186593,1481.0,100.0,42,30,12
BATADAL,0.8,7.0,23.27250972180676,86.54060066740823,36.68081093823668,9.424133373482919,94.05934737754647,17.1317746228775,1470.0,100.0,42,30,12
BATADAL,0.8,8.0,23.27175208581645,86.87430478309233,36.709753231492364,9.312474878783645,94.28256166326075,16.950696023745206,1465.0,100.0,42,30,12
BATADAL,0.8,9.0,23.168199347374667,86.87430478309233,36.5807962529274,9.373145953385983,94.28256166326075,17.05114424759248,1456.0,100.0,42,30,12
BATADAL,0.8,10.0,23.1858407079646,87.43047830923248,36.65190020983912,9.037556246890167,94.66946642516551,16.499955463692114,1449.0,100.0,42,30,12
BATADAL,0.8,12.0,23.14001171646163,87.87541713014461,36.63343380477625,8.906106087922039,94.87779975849885,16.283676031392204,1435.0,100.0,42,30,12
BATADAL,0.8,15.0,23.032239326169037,88.2091212458287,36.52694610778443,8.852843534899797,95.04149023468933,16.19698422124526,1421.0,100.0,42,30,12
BATADAL,0.8,20.0,22.720777364961418,88.43159065628477,36.15279672578445,8.246085896298814,95.16053785373695,15.177015564820396,1396.0,100.0,42,30,12
