variant,S,G,num_monitored,monitored_sensors,monitored_actuators,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen,TP,FP,TN,FN,system_total_alarm_rate,system_benign_alarm_rate,system_attack_alarm_rate,system_num_alarm_intervals,system_longest_alarm_interval,threshold_min,threshold_max,growth_cap_min,growth_cap_max,max_test_cusum_max
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,9.0,39,14,25,43.38118022328549,83.30296569102539,57.051826677994896,5.850620287745576,75.91127104210507,10.86393710330782,7043.0,100.0,42976,56090,342238,8614,0.22018678959277024,0.14081360085155953,0.8330296569102539,7289,31940,1e-06,144.12077451352442,1e-05,145.62506124142283,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,10.0,39,14,25,42.8762195182716,83.39794533824386,56.63531595332276,5.83566409647551,76.06366326440317,10.839698030792677,7011.0,100.0,43025,57322,341006,8565,0.22303397507990344,0.1439065292924424,0.8339794533824385,7255,31941,1e-06,144.12077451352442,1.1e-05,145.79220421118933,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,12.0,39,14,25,41.90799191479437,83.59178135297537,55.82741077323391,5.844539397740988,76.39234634929635,10.858341092772283,6932.0,100.0,43125,59779,338549,8465,0.2287172329179984,0.15007481271715772,0.8359178135297538,7167,31970,1e-06,144.12077451352442,1.3000000000000001e-05,146.1264901507223,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,15.0,39,14,25,40.50212104469645,83.83601473153712,54.61777909671227,5.8257913290373455,80.20121889090561,10.862531765274545,6816.0,100.0,43251,63536,334792,8339,0.23734769446876985,0.15950673816553193,0.8383601473153712,7043,31974,1e-06,144.12077451352442,1.6e-05,146.62791906002178,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,20.0,39,14,25,38.801676152354744,84.17910447761194,53.118712273641854,5.9445972057940235,80.7020014303494,11.073507783483219,6520.0,100.0,43428,68495,329833,8162,0.24876310794411427,0.17195627723885842,0.8417910447761194,6731,32159,1e-06,144.12077451352442,2.1e-05,147.46363390885423,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.1,25.0,39,14,25,37.40016642503581,84.50668734250823,51.85211615197522,5.857679983937292,81.15583168137816,10.926691308547348,6428.0,100.0,43597,72972,325356,7993,0.2590894340746536,0.1831957582695668,0.8450668734250824,6631,32225,1e-06,144.12077451352442,2.6e-05,148.2993487576867,63.35953520982656
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,0.0,39,14,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,398328,51590,0.0,0.0,0.0,0,0,1e-06,288.24154902704885,1e-06,288.24154902704885,68.75420972713873
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,0.1,39,14,25,42.747701736465785,24.336111649544485,31.0153162055336,29.766864216487964,54.243492312108984,38.43951476942085,4994.0,100.0,12555,16815,381513,39035,0.06527856187127432,0.04221395432909562,0.24336111649544484,7199,1114,1e-06,288.24154902704885,1.1e-06,288.2582633240255,68.76505527946559
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,0.5,39,14,25,46.13153654606709,30.52335723977515,36.73840769903762,34.83452709013013,56.36577372677242,43.058521830610005,4945.0,100.0,15747,18388,379940,35843,0.0758693806426949,0.04616296117772288,0.3052335723977515,7451,1114,1e-06,288.24154902704885,1.5e-06,288.3251205119321,68.808437488773
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,1.0,39,14,25,50.25599568849367,39.76545842217484,44.39947625282705,37.33645225943595,57.17558084044613,45.17378950464036,4743.0,100.0,20515,20306,378022,31075,0.09072986633119813,0.050978088409551925,0.3976545842217484,7094,1116,1e-06,288.24154902704885,2e-06,288.4086919968153,68.86266525040728
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,1.5,39,14,25,50.81159243192603,48.360147315371194,49.55557100435987,38.0172607260728,61.37528482028014,46.95161377190799,4120.0,100.0,24949,24152,374176,26641,0.10913321983116923,0.06063344781185355,0.48360147315371194,6325,1117,1e-06,288.24154902704885,2.4999999999999998e-06,288.49226348169856,68.91689301204154
geco_matched_plus_all_actuator_persistence_no_holdout_quality_gate_dense,0.2,2.0,39,14,25,53.186500756932396,55.84221748400853,54.48201520481108,38.996616899095,61.924608801658735,47.85614184324313,3955.0,100.0,28809,25357,372971,22781,0.12039082677287861,0.06365859291839891,0.5584221748400853,5952,1117,1e-06,288.24154902704885,3e-06,288.57583496658185,68.97112077367582
