dataset,variant,S,G,point_kind,num_monitored,monitored_symbolic,monitored_persistence,Precision,Recall,F1,eTaP,eTaR,eTaF1,FPA,Scen,TP,FP,TN,FN
HAI,without_geco_ignored,0.5,8.0,grid,47,45,2,9.233911905373503,84.37465072091203,16.64608599779493,4.479900587127133,92.368397484809,8.545348681642883,3604.0,100.0,7549,74204,318849,1398
HAI,without_geco_ignored,0.5,9.0,grid,47,45,2,9.203735412340462,84.70995864535598,16.60350077770719,4.537044254484385,92.52249047559648,8.649920587200027,3584.0,100.0,7579,74768,318285,1368
HAI,without_geco_ignored,0.5,10.0,grid,47,45,2,9.18815802182942,85.05644350061473,16.584759891468984,4.420654316681478,92.68064773149337,8.438797355442107,3569.0,100.0,7610,75214,317839,1337
HAI,without_geco_ignored,0.5,12.0,grid,47,45,2,9.182101529753162,85.9394210349838,16.59150249228578,4.227082455685579,93.08149084672684,8.086916158650581,3566.0,100.0,7689,76050,317003,1258
HAI,without_geco_ignored,0.5,15.0,grid,47,45,2,9.112608322456994,86.62121381468648,16.490414281762668,3.952778423657713,93.37837514335112,7.584499165495656,3559.0,100.0,7750,77297,315756,1197
HAI,without_geco_ignored,0.5,20.0,grid,47,45,2,9.004712102057235,87.57125293394435,16.3302312494138,3.427967227248023,93.77969063540252,6.61416421603006,3537.0,100.0,7835,79175,313878,1112
HAI,without_geco_ignored,0.5,25.0,grid,47,45,2,8.924449048997197,88.57717670727618,16.215165527683432,2.909524418722471,94.21504565975523,5.644729767897407,3531.0,100.0,7925,80876,312177,1022
HAI,without_geco_ignored,0.6,0.1,grid,47,45,2,19.201710202647305,73.28713535263218,30.430444367095948,7.430819484328764,87.0251159128385,13.692478386498156,4909.0,100.0,6557,27591,365462,2390
HAI,without_geco_ignored,0.6,0.5,grid,47,45,2,17.21067487811137,74.9636749748519,27.99424004006929,7.774546445251803,87.82063800025392,14.284519308058488,3708.0,100.0,6707,32263,360790,2240
HAI,without_geco_ignored,0.6,1.0,grid,47,45,2,15.908828220717076,76.91963786744161,26.364785656821056,9.00759515335218,88.68729527420354,16.35416647850611,2504.0,100.0,6882,36377,356676,2065
